form,uuid,status,name
F01-MHPSS_Baseline.json,4dae5b12-070f-4153-b1ca-fbec906106e1,Exists,Admission category
F01-MHPSS_Baseline.json,9f2fe30f-a8f0-49ba-82e4-71c232259130,Exists,New admission
F01-MHPSS_Baseline.json,e4e42ecd-196b-4aa8-a265-bfbed09d77cf,Exists,Re-admission
F01-MHPSS_Baseline.json,ec42d68d-3e23-43de-b8c5-a03bb538e7c7,Exists,Sexe
F01-MHPSS_Baseline.json,625baaf5-ba75-4c23-bdef-283fd47c34db,Exists,Male
F01-MHPSS_Baseline.json,2ded9cfb-c089-4e1c-b032-7aa4a17882f7,Exists,Femme
F01-MHPSS_Baseline.json,37ccc7b5-0d1d-48d3-87a6-aee614bb500f,Not found,
F01-MHPSS_Baseline.json,1226d253-376f-4e73-9ae2-36c7e9362e8b,Not found,
F01-MHPSS_Baseline.json,810ca6e9-cabf-4aa6-98d0-c3d31cfdb5f0,Exists,Gender variant - Non conforming
F01-MHPSS_Baseline.json,245151ca-691e-4d5a-a792-64cb573e2b34,Exists,Prefer not to answer
F01-MHPSS_Baseline.json,ccb4c50d-13e0-46a2-bd5e-51c86d042ad8,Exists,غير معروف
F01-MHPSS_Baseline.json,58dec757-38d5-4c7b-9bd3-713d965f4883,Exists,Number of people living with patient
F01-MHPSS_Baseline.json,1a8bf24f-4f36-4971-aad9-ae77f3525738,Exists,Type of therapeutic session
F01-MHPSS_Baseline.json,96223dc7-6959-4ea5-a362-c0246d858c87,Exists,Individual
F01-MHPSS_Baseline.json,61b32a22-acef-4141-9faa-9c236cdfa978,Exists,Couple
F01-MHPSS_Baseline.json,f16d5d76-155b-453d-bd60-ea8ee4d344e9,Exists,Family
F01-MHPSS_Baseline.json,c39eaa06-6506-49f0-9c4f-c96fa957f9cd,Exists,اهل واطفال
F01-MHPSS_Baseline.json,b87a93ff-a4a1-4601-b35d-1e42bfa7e194,Exists,Number of beneficiaries in family consultation
F01-MHPSS_Baseline.json,722dd83a-c1cf-48ad-ac99-45ac131ccc96,Exists,Provider type
F01-MHPSS_Baseline.json,278401ee-3d6f-4c65-9455-f1c16d0a7a98,Exists,Psychologist
F01-MHPSS_Baseline.json,fda1cdd0-745e-4ff7-a3d0-b8f8ddb99331,Exists,Psycho social counsellor
F01-MHPSS_Baseline.json,82978311-bef9-46f9-9a9a-cc62254b00a6,Exists,Intervention setting
F01-MHPSS_Baseline.json,0a0c70d2-2ba5-4cb3-941f-b4a9a4a7ec6d,Exists,منشأة صحية
F01-MHPSS_Baseline.json,41e68dee-a2a3-4e6c-9d96-53def5caff52,Exists,MSF Health Facility
F01-MHPSS_Baseline.json,48984e47-3e9b-4d8e-a66d-317af5c36f02,Not found,
F01-MHPSS_Baseline.json,bd5bf44b-164c-415c-8bff-b1d4849928d3,Exists,Domicile
F01-MHPSS_Baseline.json,7091b6ea-7067-4ee3-9f67-8805904e2f61,Exists,School
F01-MHPSS_Baseline.json,398ce872-5862-4826-bba8-826915eddf98,Exists,Telehealth consultation
F01-MHPSS_Baseline.json,790b41ce-e1e7-11e8-b02f-0242ac130002,Exists,أخرى
F01-MHPSS_Baseline.json,da33d74e-33b3-495a-9d7c-aa00a-aa0166,Exists,Health facility
F01-MHPSS_Baseline.json,41e68dee-a2a3-4e6c-9d96-53def5caff52,Exists,MSF Health Facility
F01-MHPSS_Baseline.json,08cd4b4a-4b0b-4391-987b-b5b3d770d30f,Exists,Mobile Clinic
F01-MHPSS_Baseline.json,e08d532b-e56c-43dc-b831-af705654d2dc,Exists,Other findings description
F01-MHPSS_Baseline.json,82d1fcad-d1be-4ea2-a66c-c872fb4825b4,Exists,Mental health interventions
F01-MHPSS_Baseline.json,08c534b7-c901-46fb-9831-50ecfcd74d1b,Exists,Psychosocial counselling
F01-MHPSS_Baseline.json,aa9c5d82-1ebf-43c7-9218-6766c4affbc4,Exists,Psychotherapy
F01-MHPSS_Baseline.json,c3c86c1b-07be-4506-ab25-8f35f4389b19,Exists,Source of initial patient referral - Mental Health
F01-MHPSS_Baseline.json,d17350e6-12de-4454-b902-58c2fc1e59aa,Exists,MSF IPD
F01-MHPSS_Baseline.json,c709f78b-5787-4c7e-b5bd-66aad28f7ff4,Exists,Emergency department
F01-MHPSS_Baseline.json,82815438-a49d-48d7-a67f-dd294aa3c1e2,Exists,MSF Primary Health Center
F01-MHPSS_Baseline.json,edb619d5-309f-45db-9521-70fcc22b30aa,Exists,Health Promotion/sensitization
F01-MHPSS_Baseline.json,200a3de4-00a7-4a2e-a113-852013d6f4c5,Exists,Other MSF personnel
F01-MHPSS_Baseline.json,92f7c3e2-89e1-4ebd-9da9-7c2976de815c,Exists,MSF social worker
F01-MHPSS_Baseline.json,923c6b39-4094-45e4-95ab-b44f7a381980,Exists,Other health structure
F01-MHPSS_Baseline.json,54054512-7317-45c4-9494-f74be6ab4549,Exists,Local health worker (non-MSF)
F01-MHPSS_Baseline.json,f9688da4-cdcf-4cb3-90c2-263812fa064f,Exists,Institutions (NGOs/Church/IGO)
F01-MHPSS_Baseline.json,8d9386b1-a641-4155-9822-7a06a16aa8e8,Exists,Auto-référence
F01-MHPSS_Baseline.json,a8432309-bc74-4da0-8639-76988c02cbb5,Exists,Family member / friend /neighbour
F01-MHPSS_Baseline.json,8b93d848-9e20-41b3-94e5-895a356e5ed7,Exists,Community leader
F01-MHPSS_Baseline.json,98b1e458-2d46-4025-b912-7340f9d39610,Exists,School / University
F01-MHPSS_Baseline.json,80575f44-be81-4694-aba4-012999328339,Exists,Authorities
F01-MHPSS_Baseline.json,14940a46-5cce-4744-ac2a-c2d1fdc64e11,Exists,Legal attorney office
F01-MHPSS_Baseline.json,b989e916-8299-40f6-9a92-c0c8d8e70f20,Exists,Prosecutor office
F01-MHPSS_Baseline.json,f85b0def-4af3-4901-839d-0a9dc8ace318,Exists,Forensic department
F01-MHPSS_Baseline.json,127bfdc9-8059-4421-a3cc-967bfbfee0ce,Exists,CHOW (Community Health Outreach Worker)
F01-MHPSS_Baseline.json,410a0731-cb41-4181-9897-6eb9894bf7b8,Exists,Community educator
F01-MHPSS_Baseline.json,53b450aa-d27c-4c2f-9a4e-98513bbe645f,Exists,Reason for referral
F01-MHPSS_Baseline.json,c899d33a-adde-4c70-ad65-2326b8843e3b,Exists,Psychosomatic symptoms
F01-MHPSS_Baseline.json,464c68b7-0fb0-495c-b931-0c1732b60397,Exists,Body pain or complaints
F01-MHPSS_Baseline.json,8cc7bf17-44f1-436e-9f0c-4ffed9fdd093,Exists,Eating disorder
F01-MHPSS_Baseline.json,42966954-f43f-4564-bc59-d9d133e53a75,Exists,مشاكل في النوم
F01-MHPSS_Baseline.json,a22392b2-c8dc-43b5-8f8a-b18a223f25f2,Exists,Enuresis
F01-MHPSS_Baseline.json,3ba98736-982f-4d9c-a675-f83b180a9f28,Exists,Sexual disorder
F01-MHPSS_Baseline.json,28adad48-b45b-46a4-ae94-4cca6118047e,Exists,Unexplained physical reaction
F01-MHPSS_Baseline.json,7bb9a0b0-ca7e-4cd0-84ba-a5f18811dacd,Exists,Depression symptoms
F01-MHPSS_Baseline.json,7f4699e5-e70a-49fb-bf34-c09afa867fdc,Exists,Sad mood
F01-MHPSS_Baseline.json,ab05b9a6-64ae-4ba3-9ff6-df15a424ffb0,Exists,Irritable mood
F01-MHPSS_Baseline.json,51061bb9-6084-4bb3-b83b-5c234e45b09c,Exists,Anhedonia
F01-MHPSS_Baseline.json,ec2bcaba-7349-4e74-8cbe-fe8bd2dbbc4f,Exists,Feeling of hopeless
F01-MHPSS_Baseline.json,e8166325-9ddc-4739-9452-da63ee7862d2,Exists,Guilty feelings
F01-MHPSS_Baseline.json,4f8f7343-f191-4483-bcf9-c60027a6eca8,Exists,Suicidal thoughts
F01-MHPSS_Baseline.json,ad5c4c92-ae7d-442f-b360-5b8e7c1cbeca,Exists,Recent suicidal attempt
F01-MHPSS_Baseline.json,003b425a-d8c3-47ed-bbde-45a7c180c0a4,Exists,Recent self-harm
F01-MHPSS_Baseline.json,ce47585c-fa23-4de3-9e3a-97f5eb309e72,Exists,Changes in appetite
F01-MHPSS_Baseline.json,241b3278-3803-478b-8484-70e2b17e5543,Exists,Anxiety symptoms
F01-MHPSS_Baseline.json,92d3cabc-e64c-4788-8d6b-e6e06f0b18fd,Exists,Constant stress
F01-MHPSS_Baseline.json,ebb4fe74-35df-4a6e-bd2a-3c3e9912e9bb,Exists,Feeling constantly worried
F01-MHPSS_Baseline.json,ae1ab702-fa58-4648-95e4-acca5c9078f7,Exists,Excessive fear/phobia
F01-MHPSS_Baseline.json,473f0ea3-92e5-4a99-bbe0-358e371355ee,Exists,Panic disorder
F01-MHPSS_Baseline.json,4fa8e185-3ce6-4bbf-92c4-12e069dc9631,Exists,Compulsive behavior
F01-MHPSS_Baseline.json,3a0c003c-9149-4a5f-a236-ed5d61231950,Exists,Trauma-related symptoms
F01-MHPSS_Baseline.json,ecf185bf-e3a3-4c46-948b-13dd0ddd1487,Exists,Intrusive thoughts
F01-MHPSS_Baseline.json,c60a75c9-2ee9-4fb2-af53-6d730e45f074,Exists,Flashbacks
F01-MHPSS_Baseline.json,94083de5-2603-4b26-a6d8-ec4459f9eced,Exists,Avoidance behaviour
F01-MHPSS_Baseline.json,06a3663d-f7c7-451d-a2e5-1daedfa7abb5,Exists,Hyper-vigilance
F01-MHPSS_Baseline.json,e5f10e57-9d21-4d27-b2c9-e03aa535b76a,Exists,Hallucinations
F01-MHPSS_Baseline.json,96eca5fb-417d-4fdb-ab32-e701eb0f8e21,Exists,Child has stopped talking
F01-MHPSS_Baseline.json,612c130a-0ae9-4565-af09-b5437334c742,Exists,Psychosis symptoms
F01-MHPSS_Baseline.json,452fa7bf-ea9a-4057-bf15-bbc6c52284d4,Exists,Delusional disorder
F01-MHPSS_Baseline.json,c841b5eb-e2d8-49c9-9f1b-43944d9980e6,Exists,Visual hallucinations
F01-MHPSS_Baseline.json,3a687fa3-ac74-4d99-a7eb-f92fbcfab3c1,Exists,Auditory hallucinations
F01-MHPSS_Baseline.json,dfaf113c-72f2-4865-81c9-31aba9e95a74,Exists,Disorganized thoughts
F01-MHPSS_Baseline.json,8a91cfc0-271e-48f4-a5f3-4dcbfa0dd26f,Exists,Abnormal behaviour
F01-MHPSS_Baseline.json,cda4f471-1da9-4192-8f26-ecec35775d5a,Exists,Psychotic agitation
F01-MHPSS_Baseline.json,a5b552b6-44db-42f1-a436-6f2f12de471e,Exists,Neurocognitive symptoms
F01-MHPSS_Baseline.json,44274d50-bb85-4f20-9b55-d08f60343c38,Exists,Lack of concentration
F01-MHPSS_Baseline.json,66e446ee-8f82-4f2a-808f-00d664ac92de,Exists,Delayed milestones
F01-MHPSS_Baseline.json,08e5f461-0f71-4d23-95a0-1e4ae3d141ab,Exists,Abnormal social interaction and communication
F01-MHPSS_Baseline.json,9240ed56-8ba2-4ef2-b42f-e84179fcc333,Exists,Learning problems
F01-MHPSS_Baseline.json,88f53582-4db7-4936-970d-7b6f685f0c68,Exists,Epileptic seizure
F01-MHPSS_Baseline.json,5b271a75-d44b-466a-8baf-71153dc1895c,Exists,Adult behavioral problem
F01-MHPSS_Baseline.json,fcc01124-3d7b-4e6f-be35-50233a7f64cb,Exists,Substance abuse
F01-MHPSS_Baseline.json,977e8c6f-befa-4af3-87e1-1d29a57450c1,Exists,Aggressive behavior
F01-MHPSS_Baseline.json,1189fb28-8d79-4d69-a434-63fed6e0ea60,Exists,Child behavioral problem
F01-MHPSS_Baseline.json,520eccda-99f4-4cab-950b-260cfe3ab767,Exists,Hypo- or hyperactivity
F01-MHPSS_Baseline.json,12723e41-2955-4917-971c-7f05849412d7,Exists,Impulsiveness
F01-MHPSS_Baseline.json,c09cde65-4fa8-47bc-b795-06ccf0be1d8b,Exists,Regression in development in child
F01-MHPSS_Baseline.json,07ff1a8a-2a0b-4e28-83ec-8c82f0681738,Exists,Social withdrawal
F01-MHPSS_Baseline.json,790b41ce-e1e7-11e8-b02f-0242ac130002,Exists,أخرى
F01-MHPSS_Baseline.json,790b41ce-e1e7-11e8-b02f-0242ac130002,Exists,أخرى
F01-MHPSS_Baseline.json,e08d532b-e56c-43dc-b831-af705654d2dc,Exists,Other findings description
F01-MHPSS_Baseline.json,45b39cbf-0fb2-4682-8544-8aaf3e07a744,Exists,Mental Health Current Symptoms or Complaints 1
F01-MHPSS_Baseline.json,464c68b7-0fb0-495c-b931-0c1732b60397,Exists,Body pain or complaints
F01-MHPSS_Baseline.json,8cc7bf17-44f1-436e-9f0c-4ffed9fdd093,Exists,Eating disorder
F01-MHPSS_Baseline.json,42966954-f43f-4564-bc59-d9d133e53a75,Exists,مشاكل في النوم
F01-MHPSS_Baseline.json,a22392b2-c8dc-43b5-8f8a-b18a223f25f2,Exists,Enuresis
F01-MHPSS_Baseline.json,3ba98736-982f-4d9c-a675-f83b180a9f28,Exists,Sexual disorder
F01-MHPSS_Baseline.json,28adad48-b45b-46a4-ae94-4cca6118047e,Exists,Unexplained physical reaction
F01-MHPSS_Baseline.json,7f4699e5-e70a-49fb-bf34-c09afa867fdc,Exists,Sad mood
F01-MHPSS_Baseline.json,ab05b9a6-64ae-4ba3-9ff6-df15a424ffb0,Exists,Irritable mood
F01-MHPSS_Baseline.json,51061bb9-6084-4bb3-b83b-5c234e45b09c,Exists,Anhedonia
F01-MHPSS_Baseline.json,ec2bcaba-7349-4e74-8cbe-fe8bd2dbbc4f,Exists,Feeling of hopeless
F01-MHPSS_Baseline.json,e8166325-9ddc-4739-9452-da63ee7862d2,Exists,Guilty feelings
F01-MHPSS_Baseline.json,4f8f7343-f191-4483-bcf9-c60027a6eca8,Exists,Suicidal thoughts
F01-MHPSS_Baseline.json,ad5c4c92-ae7d-442f-b360-5b8e7c1cbeca,Exists,Recent suicidal attempt
F01-MHPSS_Baseline.json,003b425a-d8c3-47ed-bbde-45a7c180c0a4,Exists,Recent self-harm
F01-MHPSS_Baseline.json,ce47585c-fa23-4de3-9e3a-97f5eb309e72,Exists,Changes in appetite
F01-MHPSS_Baseline.json,92d3cabc-e64c-4788-8d6b-e6e06f0b18fd,Exists,Constant stress
F01-MHPSS_Baseline.json,ebb4fe74-35df-4a6e-bd2a-3c3e9912e9bb,Exists,Feeling constantly worried
F01-MHPSS_Baseline.json,ae1ab702-fa58-4648-95e4-acca5c9078f7,Exists,Excessive fear/phobia
F01-MHPSS_Baseline.json,473f0ea3-92e5-4a99-bbe0-358e371355ee,Exists,Panic disorder
F01-MHPSS_Baseline.json,4fa8e185-3ce6-4bbf-92c4-12e069dc9631,Exists,Compulsive behavior
F01-MHPSS_Baseline.json,ecf185bf-e3a3-4c46-948b-13dd0ddd1487,Exists,Intrusive thoughts
F01-MHPSS_Baseline.json,c60a75c9-2ee9-4fb2-af53-6d730e45f074,Exists,Flashbacks
F01-MHPSS_Baseline.json,94083de5-2603-4b26-a6d8-ec4459f9eced,Exists,Avoidance behaviour
F01-MHPSS_Baseline.json,06a3663d-f7c7-451d-a2e5-1daedfa7abb5,Exists,Hyper-vigilance
F01-MHPSS_Baseline.json,e5f10e57-9d21-4d27-b2c9-e03aa535b76a,Exists,Hallucinations
F01-MHPSS_Baseline.json,96eca5fb-417d-4fdb-ab32-e701eb0f8e21,Exists,Child has stopped talking
F01-MHPSS_Baseline.json,452fa7bf-ea9a-4057-bf15-bbc6c52284d4,Exists,Delusional disorder
F01-MHPSS_Baseline.json,c841b5eb-e2d8-49c9-9f1b-43944d9980e6,Exists,Visual hallucinations
F01-MHPSS_Baseline.json,3a687fa3-ac74-4d99-a7eb-f92fbcfab3c1,Exists,Auditory hallucinations
F01-MHPSS_Baseline.json,dfaf113c-72f2-4865-81c9-31aba9e95a74,Exists,Disorganized thoughts
F01-MHPSS_Baseline.json,8a91cfc0-271e-48f4-a5f3-4dcbfa0dd26f,Exists,Abnormal behaviour
F01-MHPSS_Baseline.json,cda4f471-1da9-4192-8f26-ecec35775d5a,Exists,Psychotic agitation
F01-MHPSS_Baseline.json,44274d50-bb85-4f20-9b55-d08f60343c38,Exists,Lack of concentration
F01-MHPSS_Baseline.json,66e446ee-8f82-4f2a-808f-00d664ac92de,Exists,Delayed milestones
F01-MHPSS_Baseline.json,08e5f461-0f71-4d23-95a0-1e4ae3d141ab,Exists,Abnormal social interaction and communication
F01-MHPSS_Baseline.json,9240ed56-8ba2-4ef2-b42f-e84179fcc333,Exists,Learning problems
F01-MHPSS_Baseline.json,88f53582-4db7-4936-970d-7b6f685f0c68,Exists,Epileptic seizure
F01-MHPSS_Baseline.json,fcc01124-3d7b-4e6f-be35-50233a7f64cb,Exists,Substance abuse
F01-MHPSS_Baseline.json,977e8c6f-befa-4af3-87e1-1d29a57450c1,Exists,Aggressive behavior
F01-MHPSS_Baseline.json,1189fb28-8d79-4d69-a434-63fed6e0ea60,Exists,Child behavioral problem
F01-MHPSS_Baseline.json,520eccda-99f4-4cab-950b-260cfe3ab767,Exists,Hypo- or hyperactivity
F01-MHPSS_Baseline.json,12723e41-2955-4917-971c-7f05849412d7,Exists,Impulsiveness
F01-MHPSS_Baseline.json,c09cde65-4fa8-47bc-b795-06ccf0be1d8b,Exists,Regression in development in child
F01-MHPSS_Baseline.json,07ff1a8a-2a0b-4e28-83ec-8c82f0681738,Exists,Social withdrawal
F01-MHPSS_Baseline.json,790b41ce-e1e7-11e8-b02f-0242ac130002,Exists,أخرى
F01-MHPSS_Baseline.json,ee1b7973-e931-494e-a9cb-22b814b4d8ed,Exists,Mental Health Current Symptoms or Complaints 2
F01-MHPSS_Baseline.json,464c68b7-0fb0-495c-b931-0c1732b60397,Exists,Body pain or complaints
F01-MHPSS_Baseline.json,8cc7bf17-44f1-436e-9f0c-4ffed9fdd093,Exists,Eating disorder
F01-MHPSS_Baseline.json,42966954-f43f-4564-bc59-d9d133e53a75,Exists,مشاكل في النوم
F01-MHPSS_Baseline.json,a22392b2-c8dc-43b5-8f8a-b18a223f25f2,Exists,Enuresis
F01-MHPSS_Baseline.json,3ba98736-982f-4d9c-a675-f83b180a9f28,Exists,Sexual disorder
F01-MHPSS_Baseline.json,28adad48-b45b-46a4-ae94-4cca6118047e,Exists,Unexplained physical reaction
F01-MHPSS_Baseline.json,7f4699e5-e70a-49fb-bf34-c09afa867fdc,Exists,Sad mood
F01-MHPSS_Baseline.json,ab05b9a6-64ae-4ba3-9ff6-df15a424ffb0,Exists,Irritable mood
F01-MHPSS_Baseline.json,51061bb9-6084-4bb3-b83b-5c234e45b09c,Exists,Anhedonia
F01-MHPSS_Baseline.json,ec2bcaba-7349-4e74-8cbe-fe8bd2dbbc4f,Exists,Feeling of hopeless
F01-MHPSS_Baseline.json,e8166325-9ddc-4739-9452-da63ee7862d2,Exists,Guilty feelings
F01-MHPSS_Baseline.json,4f8f7343-f191-4483-bcf9-c60027a6eca8,Exists,Suicidal thoughts
F01-MHPSS_Baseline.json,ad5c4c92-ae7d-442f-b360-5b8e7c1cbeca,Exists,Recent suicidal attempt
F01-MHPSS_Baseline.json,003b425a-d8c3-47ed-bbde-45a7c180c0a4,Exists,Recent self-harm
F01-MHPSS_Baseline.json,ce47585c-fa23-4de3-9e3a-97f5eb309e72,Exists,Changes in appetite
F01-MHPSS_Baseline.json,92d3cabc-e64c-4788-8d6b-e6e06f0b18fd,Exists,Constant stress
F01-MHPSS_Baseline.json,ebb4fe74-35df-4a6e-bd2a-3c3e9912e9bb,Exists,Feeling constantly worried
F01-MHPSS_Baseline.json,ae1ab702-fa58-4648-95e4-acca5c9078f7,Exists,Excessive fear/phobia
F01-MHPSS_Baseline.json,473f0ea3-92e5-4a99-bbe0-358e371355ee,Exists,Panic disorder
F01-MHPSS_Baseline.json,4fa8e185-3ce6-4bbf-92c4-12e069dc9631,Exists,Compulsive behavior
